x,y,z
6.676691,22.433712,0
12.424074,24.32015,0
11.520914,27.975122,0
0.272463,14.121598,0
3.269313,6.457946,0
6.019847,3.392485,0
14.025131,4.807313,0
5.814583,-0.321439,0
15.995663,15.064816,0
29.460962,12.058307,0
25.848321,26.206587,0
26.710429,23.376931,0
29.87149,17.77657,0
28.475696,9.287602,0
27.367272,5.69158,0
21.086203,8.69809,0
23.754631,2.272413,0
17.637773,6.811653,0
19.033566,-0.675146,0
26.546218,0.739682,0
28.804118,-0.498292,0
27.818853,12.588867,0
1.914573,17.304961,0
5.896689,24.85071,0
-0.138064,18.189228,0
-0.302275,21.726298,0
0.190357,9.287602,0
8.524064,6.045288,1.171762
12.834602,8.108578,1.171762
10.617754,23.553785,1.171762
11.028281,13.532086,1.171762
14.640922,12.70677,1.171762
7.949326,9.582358,1.171762
9.180908,3.392485,1.171762
11.069334,7.106409,1.171762
4.254579,16.008035,1.171762
5.363003,12.058307,1.171762
10.125121,19.545105,1.171762
6.96406,17.658668,2.202947
13.614604,26.32449,1.404745
21.49673,18.837691,1.404745
22.892524,10.761381,1.404745
22.851471,16.361742,1.404745
21.086203,24.025394,1.404745
27.942011,15.536426,1.404745
22.440943,29.802608,1.404745
23.261998,26.914001,1.404745
16.775665,21.372591,1.404745
26.094637,18.896642,1.404745
17.637773,25.970783,2.176389
16.241979,31.217437,2.176389
17.843036,29.036243,2.176389
20.224095,20.724129,2.176389
16.611454,25.617076,2.176389
13.943026,31.512192,2.176389
24.042,24.084345,0.844688
23.097787,22.138957,0.936148
24.616739,18.542935,0.936148
26.13569,14.829012,0.936148
26.792534,29.566804,0.879297
29.502015,23.907492,-0.589489
2.489311,29.684706,1.509634
-0.302275,25.32232,1.509634
0.888254,28.85939,2.16531
0.600885,30.568974,2.16531
1.052465,21.962103,0.983381
2.366153,24.438052,1.34474
5.363003,28.682536,0.36136
8.811433,30.39212,0.656082
10.86407,30.451071,0.656082
8.893539,26.206587,0.656082
0.395621,2.508217,2.368564
6.184058,20.488324,1.182943
15.913557,2.095559,0.788274
18.458827,2.744022,0.788274
10.453543,0.798633,1.346335
13.86092,1.211292,1.346335
2.489311,1.152341,1.964448
14.14829,22.138957,2.403291
22.933576,-0.91095,0.765823
3.146155,19.721959,0.902249
15.872505,29.154146,3.971076
18.828302,17.363912,0.586622
